Edo_code,edo,Pop,Sharebtw20-29,Sharebtw30-39,Sharebtw40-49,Share=>50,Share_above20,Share_above30
1,Aguascalientes,1312544,0.17,0.14,0.12,0.17,0.6,0.43
2,Baja California,3315766,0.18,0.16,0.14,0.18,0.66,0.48
3,Baja California Sur,712029,0.17,0.17,0.13,0.17,0.64,0.47
4,Campeche,899931,0.18,0.15,0.12,0.18,0.63,0.45
5,Coahuila,2954915,0.16,0.15,0.13,0.19,0.63,0.47
6,Colima,711235,0.17,0.15,0.13,0.2,0.65,0.48
7,Chiapas,5217908,0.17,0.14,0.1,0.15,0.56,0.39
8,Chihuahua,3556574,0.16,0.14,0.13,0.19,0.62,0.46
9,Ciudad de México,8918653,0.16,0.16,0.14,0.26,0.72,0.56
10,Durango,1754754,0.16,0.14,0.12,0.19,0.61,0.45
11,Guanajuato,5853677,0.17,0.15,0.12,0.18,0.62,0.45
12,Guerrero,3533251,0.16,0.13,0.11,0.19,0.59,0.43
13,Hidalgo,2858359,0.16,0.14,0.12,0.2,0.62,0.46
14,Jalisco,7844830,0.17,0.15,0.12,0.19,0.63,0.46
15,Estado de México,16187608,0.17,0.15,0.13,0.19,0.64,0.47
16,Michoacán,4584471,0.17,0.14,0.11,0.2,0.62,0.45
17,Morelos,1903811,0.17,0.14,0.13,0.22,0.66,0.49
18,Nayarit,1181050,0.17,0.14,0.12,0.2,0.63,0.46
19,Nuevo León,5119504,0.17,0.16,0.14,0.19,0.66,0.49
20,Oaxaca,3967889,0.16,0.14,0.11,0.21,0.62,0.46
21,Puebla,6168883,0.17,0.14,0.11,0.19,0.61,0.44
22,Querétaro,2038372,0.18,0.16,0.12,0.17,0.63,0.45
23,Quintana Roo,1501562,0.2,0.17,0.13,0.14,0.64,0.44
24,San Luis Potosí,2717820,0.16,0.14,0.12,0.2,0.62,0.46
25,Sinaloa,2966321,0.16,0.14,0.13,0.21,0.64,0.48
26,Sonora,2850330,0.16,0.15,0.13,0.2,0.64,0.48
27,Tabasco,2395272,0.17,0.15,0.12,0.18,0.62,0.45
28,Tamaulipas,3441698,0.16,0.15,0.13,0.2,0.64,0.48
29,Tlaxcala,1272847,0.17,0.15,0.12,0.18,0.62,0.45
30,Veracruz,8112505,0.16,0.14,0.13,0.22,0.65,0.49
31,Yucatán,2097175,0.18,0.15,0.12,0.2,0.65,0.47
32,Zacatecas,1579209,0.16,0.14,0.12,0.2,0.62,0.46
