"ENTIDAD","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"1","2020-02-15",7,6,6,-14,4,-2
"1","2020-02-16",9,7,5,1,1,-1
"1","2020-02-17",1,2,0,-5,12,-2
"1","2020-02-18",0,-3,3,-4,10,-2
"1","2020-02-19",-1,-2,-2,-2,9,-1
"1","2020-02-20",-1,-2,2,0,9,-2
"1","2020-02-21",-2,-1,1,-8,11,-2
"1","2020-02-22",0,1,4,-16,4,-1
"1","2020-02-23",0,1,3,-6,0,-1
"1","2020-02-24",-4,-3,-2,-4,13,-2
"1","2020-02-25",-4,-6,-1,-7,10,-2
"1","2020-02-26",-7,-5,1,-4,10,-1
"1","2020-02-27",0,0,9,0,10,-2
"1","2020-02-28",1,9,20,-7,10,-2
"1","2020-02-29",10,13,39,-12,6,-2
"1","2020-03-01",9,10,18,-2,2,-2
"1","2020-03-02",0,5,1,-7,13,-2
"1","2020-03-03",-1,-1,-1,-11,10,-1
"1","2020-03-04",-1,1,-4,-6,10,-1
"1","2020-03-05",0,1,2,-5,10,-2
"1","2020-03-06",-5,0,-1,-10,13,-2
"1","2020-03-07",1,2,7,-18,6,-1
"1","2020-03-08",7,2,9,-10,3,-1
"1","2020-03-09",-12,-10,-11,-10,-13,6
"1","2020-03-10",-2,-2,2,-2,9,-2
"1","2020-03-11",-1,-1,-1,1,9,-1
"1","2020-03-12",1,2,6,3,8,-2
"1","2020-03-13",1,9,0,8,3,-1
"1","2020-03-14",4,13,7,-4,2,-2
"1","2020-03-15",-2,8,-3,-21,-1,-2
"1","2020-03-16",-13,5,-12,10,-61,15
"1","2020-03-17",-8,3,-6,1,-3,3
"1","2020-03-18",-17,2,-16,-14,-10,7
"1","2020-03-19",-24,1,-14,-21,-15,8
"1","2020-03-20",-34,-1,-20,-35,-16,11
"1","2020-03-21",-37,-5,-21,-42,-9,10
"1","2020-03-22",-46,-16,-28,-50,-15,9
"1","2020-03-23",-36,-16,-27,-42,-28,13
"1","2020-03-24",-39,-18,-29,-43,-33,15
"1","2020-03-25",-42,-18,-35,-48,-36,17
"1","2020-03-26",-42,-16,-31,-49,-38,18
"1","2020-03-27",-45,-12,-31,-55,-37,20
"1","2020-03-28",-43,-10,-28,-57,-21,14
"1","2020-03-29",-51,-19,-37,-62,-24,12
"1","2020-03-30",-40,-17,-34,-55,-41,18
"1","2020-03-31",-40,-18,-36,-53,-44,19
"1","2020-04-01",-43,-16,-38,-53,-46,21
"1","2020-04-02",-50,-12,-35,-55,-49,22
"1","2020-04-03",-60,-6,-35,-61,-47,24
"1","2020-04-04",-59,-6,-32,-61,-29,16
"1","2020-04-05",-66,-18,-40,-68,-29,14
"1","2020-04-06",-56,-12,-32,-60,-51,21
"1","2020-04-07",-55,-12,-30,-59,-53,22
"1","2020-04-08",-53,-4,-33,-54,-53,22
"1","2020-04-09",-62,-6,-35,-60,-66,25
"1","2020-04-10",-79,-27,-53,-77,-77,31
"1","2020-04-11",-66,-17,-38,-74,-49,19
"1","2020-04-12",-68,-23,-46,-70,-31,14
"1","2020-04-13",-55,-11,-33,-60,-48,21
"1","2020-04-14",-53,-10,-31,-61,-50,22
"1","2020-04-15",-51,-2,-32,-57,-50,22
"1","2020-04-16",-51,-6,-32,-60,-50,22
"1","2020-04-17",-54,-7,-32,-66,-47,24
"1","2020-04-18",-58,-17,-32,-67,-27,15
"1","2020-04-19",-64,-26,-42,-70,-24,13
"1","2020-04-20",-55,-22,-35,-63,-47,21
"1","2020-04-21",-57,-26,-41,-63,-50,22
"1","2020-04-22",-58,-25,-44,-65,-50,23
"1","2020-04-23",-59,-24,-41,-65,-50,23
"1","2020-04-24",-61,-22,-42,-70,-47,25
"1","2020-04-25",-60,-21,-39,-69,-29,16
"1","2020-04-26",-67,-30,-49,-74,-26,13
"1","2020-04-27",-57,-26,-41,-65,-48,22
"1","2020-04-28",-56,-24,-38,-64,-50,17
"1","2020-04-29",-54,-18,-40,-61,-49,23
"1","2020-04-30",-47,-5,-37,-57,-48,20
"1","2020-05-01",-64,-17,-43,-71,-66,29
"1","2020-05-02",-58,-16,-36,-70,-32,16
"1","2020-05-03",-65,-28,-46,-71,-22,13
"1","2020-05-04",-53,-20,-40,-64,-46,21
"1","2020-05-05",-53,-21,-39,-62,-49,22
"1","2020-05-06",-54,-19,-41,-61,-48,22
"1","2020-05-07",-54,-17,-37,-60,-48,22
"1","2020-05-08",-56,-16,-41,-68,-45,25
"1","2020-05-09",-52,-5,-28,-66,-23,14
"1","2020-05-10",-58,-15,-38,-72,-4,7
"1","2020-05-11",-54,-21,-37,-63,-45,20
"1","2020-05-12",-52,-21,-37,-61,-46,21
"1","2020-05-13",-50,-18,-37,-62,-46,22
"1","2020-05-14",-48,-12,-32,-59,-46,21
"1","2020-05-15",-48,-5,-29,-65,-42,21
